Year,Team,Abbreviation,Avg,Ret,Yds,KRet_TD,20_yd_returns,40_yd_returns,Long,Fair Catch
2023,Bills,BUF,20.5,17,349,0,10,1,41,4
2023,Broncos,DEN,24.9,16,398,1,11,1,99,2
2023,Browns,CLE,23.7,11,261,0,7,0,36,2
2023,Buccaneers,TB,20.4,16,327,0,7,0,32,5
2023,Cardinals,ARI,21.2,18,382,0,10,1,40,1
2023,Chargers,LAC,21.7,18,390,0,13,1,46,2
2023,Chiefs,KC,20.1,12,241,0,8,0,31,6
2023,Colts,IND,22.2,9,200,0,3,1,42,8
2023,Commanders,WAS,25,24,601,0,18,1,40,0
2023,Cowboys,DAL,21.8,18,393,0,10,2,63,0
2023,Dolphins,MIA,24.5,18,441,0,16,0,33,1
2023,Eagles,PHI,19.5,13,254,0,5,0,38,10
2023,Falcons,ATL,16.9,14,236,0,5,0,29,0
2023,Giants,NYG,19.2,13,249,0,7,0,36,3
2023,Jaguars,JAX,23.7,29,688,0,21,1,53,0
2023,Jets,NYJ,22.6,24,542,0,16,0,34,1
2023,Lions,DET,22.2,19,421,0,11,0,31,2
2023,Packers,GB,25.3,31,783,0,26,2,51,0
2023,Panthers,CAR,26.5,24,637,0,19,2,52,0
2023,Patriots,NE,26.2,18,471,1,13,3,98,1
2023,Raiders,LV,23.8,11,262,0,9,1,40,1
2023,Rams,LAR,16.1,9,145,0,4,0,36,18
2023,Ravens,BAL,24.5,13,319,0,8,1,78,4
2023,Saints,NO,21.2,22,466,0,11,0,28,1
2023,Seahawks,SEA,26.2,26,680,0,24,1,66,0
2023,Steelers,PIT,23.5,24,565,0,17,0,37,2
2023,Texans,HOU,26.6,23,613,2,15,2,98,1
2023,Titans,TEN,20.7,18,372,0,11,0,33,14
2023,Vikings,MIN,25.1,19,477,0,14,1,47,1
