Year,Team,Abbreviation,Kickoffs,Yds,Touchbacks,TB(pct),Ret,Ret_Avg,OSK,OSK_Rec,OOB,Touchdowns_Allowed
2017,Colts,IND,70,4390,46,65.7,23,19.2,1,0,0,0
2017,Cowboys,DAL,80,5159,45,56.2,35,21.7,0,0,0,0
2017,Dolphins,MIA,67,4015,28,41.8,34,19.6,5,4,0,0
2017,Eagles,PHI,94,5880,45,47.9,47,21.6,1,1,1,0
2017,Falcons,ATL,84,5332,49,58.3,33,26.2,2,0,0,0
2017,Giants,NYG,62,3849,26,41.9,32,20.5,2,0,2,0
2017,Jaguars,JAX,92,5473,48,52.2,40,20.4,3,1,2,1
2017,Jets,NYJ,72,4404,45,62.5,23,20,4,1,1,0
2017,Lions,DET,91,5769,47,51.6,43,20.4,1,0,0,0
2017,Packers,GB,68,4246,36,52.9,30,22.2,2,2,0,0
2017,Panthers,CAR,83,5313,70,84.3,12,21.2,1,0,1,0
2017,Patriots,NE,99,6228,40,40.4,58,18.9,1,0,0,0
2017,Raiders,LV,64,4058,48,75,15,19.9,1,1,0,0
2017,Rams,LAR,103,6658,78,75.7,23,22.6,0,0,2,0
2017,Ravens,BAL,90,5610,55,61.1,33,18.6,2,0,0,0
2017,Commanders,WAS,79,4987,53,67.1,24,18.7,2,0,1,0
2017,Saints,NO,95,6076,59,62.1,32,24.6,3,0,1,0
2017,Seahawks,SEA,80,4986,39,48.8,39,20.3,1,0,1,0
2017,Steelers,PIT,90,5720,46,51.1,43,21.1,0,0,1,0
2017,Texans,HOU,76,4764,49,64.5,27,20.3,1,0,0,0
2017,Titans,TEN,80,5120,47,58.8,32,23.4,1,0,0,0
2017,Vikings,MIN,89,5638,44,49.4,45,22.7,0,0,0,0
2018,49ers,SF,81,5065,52,64.2,27,24.5,2,0,0,0
2018,Bears,CHI,89,5664,65,73,22,24.9,1,1,1,1
2018,Bengals,CIN,79,5003,45,57,31,22.7,1,0,1,0
2018,Bills,BUF,66,3958,30,45.4,34,22.2,3,0,0,0
2018,Broncos,DEN,73,4473,42,57.5,28,20.8,4,0,1,0
2018,Browns,CLE,79,5011,52,65.8,24,23.9,1,0,1,0
